Temperature,Forecast,WindSpeed,WindDirection,Precipitation,Pressure,From,To
10,Cloudy,2.5,215.1,0.1,1003.6,2015-04-25T20:00:00,2015-04-25T21:00:00
10,Cloudy,2.2,214.5,0.0,1003.7,2015-04-25T21:00:00,2015-04-25T22:00:00
10,Cloudy,2.6,220.0,0.0,1003.7,2015-04-25T22:00:00,2015-04-25T23:00:00
10,Cloudy,2.5,208.3,0.0,1003.7,2015-04-25T23:00:00,2015-04-26T00:00:00
10,Cloudy,2.6,220.2,0.0,1003.9,2015-04-26T00:00:00,2015-04-26T01:00:00
10,Cloudy,2.7,230.1,0.0,1004.0,2015-04-26T01:00:00,2015-04-26T02:00:00
10,Cloudy,2.8,237.7,0.0,1004.0,2015-04-26T02:00:00,2015-04-26T03:00:00
10,Cloudy,2.9,260.2,0.0,1004.0,2015-04-26T03:00:00,2015-04-26T04:00:00
10,Cloudy,3.0,240.2,0.0,1003.9,2015-04-26T04:00:00,2015-04-26T05:00:00
10,Cloudy,2.1,202.0,0.0,1004.0,2015-04-26T05:00:00,2015-04-26T06:00:00
9,Cloudy,2.6,203.3,0.0,1003.8,2015-04-26T06:00:00,2015-04-26T07:00:00
10,Cloudy,3.5,192.8,0.0,1003.7,2015-04-26T07:00:00,2015-04-26T08:00:00
10,Cloudy,3.3,200.8,0.0,1003.8,2015-04-26T08:00:00,2015-04-26T09:00:00
11,Partly cloudy,2.9,194.0,0.0,1003.9,2015-04-26T09:00:00,2015-04-26T10:00:00
11,Partly cloudy,3.6,182.0,0.0,1003.9,2015-04-26T10:00:00,2015-04-26T11:00:00
13,Cloudy,4.3,184.1,0.0,1003.8,2015-04-26T11:00:00,2015-04-26T12:00:00
13,Cloudy,3.6,172.1,0.0,1003.6,2015-04-26T12:00:00,2015-04-26T13:00:00
17,Fair,3.9,238.2,0.0,1012.9,2015-04-24T13:00:00,2015-04-24T18:00:00
20,Partly cloudy,5.5,248.6,0.0,1010.5,2015-04-24T18:00:00,2015-04-25T00:00:00
13,Fair,4.8,198.9,0.0,1010.3,2015-04-25T00:00:00,2015-04-25T06:00:00
10,Partly cloudy,4.5,198.0,0.0,1009.1,2015-04-25T06:00:00,2015-04-25T12:00:00
20,Cloudy,6.3,200.2,0.0,1007.7,2015-04-25T12:00:00,2015-04-25T18:00:00
22,Cloudy,5.8,226.9,0.2,1004.9,2015-04-25T18:00:00,2015-04-26T00:00:00
16,Rain,3.5,252.0,1.3,1005.4,2015-04-26T00:00:00,2015-04-26T06:00:00
15,Rain,1.3,319.4,1.7,1006.3,2015-04-26T06:00:00,2015-04-26T12:00:00
18,Partly cloudy,2.6,206.6,0.3,1006.7,2015-04-26T12:00:00,2015-04-26T18:00:00
19,Cloudy,3.7,174.5,0.1,1004.6,2015-04-26T17:00:00,2015-04-26T23:00:00
12,Rain,1.6,238.8,2.2,1002.5,2015-04-27T02:00:00,2015-04-27T08:00:00
12,Rain,2.0,96.1,3.6,1000.4,2015-04-27T08:00:00,2015-04-27T14:00:00
